ADR_GenderChild,K4_1451,K5_2501,K6_2501,K7_2501,K8_651,K8_654,K8_655,K8_657,K8_681,K8_683,K8_686,K8_689,K8_693,K8_652,K8_653,K8_656,K8_658,K8_682,K8_684,K8_687,K8_690,K8_692,K8_694,K7_651,K7_652,K7_653,K7_654,K7_655,K7_656,K7_657,K7_658,K6_651,K6_652,K6_653,K6_654,K6_655,K6_656,K6_657,K6_658,K5_651,K5_652,K5_653,K5_654,K5_655,K5_656,K5_657,K5_658,K4_451,K4_452,K4_453,K4_454,K4_455,K4_456,K4_457,K4_458,K6_nSBQ_PROSO,K6_nSBQ_ANXDEP,K6_nSBQ_OPAGGR,K6_nSBQ_ADHD,K6_nSBQ_REAGGR,K6_nSBQ_PHYSAGGR,K6_nSBQ_PROAGGR,K6_nSBQ_INDAGGR,K6_involv,K6_ResilAdult,K6_ResilFriends,K6_BullVict4,K6_GTrust,K6_N1311,K6_N1321,K6_N1331,K6_N1341,K6_DevVar19,K6_SCTRL,K6_SchoolTeach,K6_SchoolClass,K6_SchoolDiffic,K5.6_MigHH2,K5.6_ISEImax,K5_nSBQ_PROSO,K5_nSBQ_ANXDEP,K5_nSBQ_OPAGGR,K5_nSBQ_ADHD,K5_nSBQ_REAGGR,K5_nSBQ_PHYSAGGR,K5_nSBQ_PROAGGR,K5_nSBQ_INDAGGR,K5_involv,K5_ResilAdult,K5_ResilFriends,K5_BullVict4,K5_GTrust,K5_1331,K5_1321,K5_1311,K5_1341,K5_DevVar19,K5_SCTRL,K5_SchoolTeach,K5_SchoolClass,K5_SchoolDiffic,K5.6_MigHH2.1,K5.6_ISEImax.1,T4.3_ACHI01,T4.3_ACHI02,T4.3_ACHI03
1,4,2,3,NA,3,2,1,1,4,3,1,1,1,1,1,2,1,4,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,2,1,3,2,2,4,2,2,2,1,1,1,3,3,3,2,3,5,4,2,4,2.625,2.375,2.33333333333333,2.75,2.33333333333333,1.66666666666667,2,3.33333333333333,3.33333333333333,2.5,3.33333333333333,2,2.33333333333333,1,1,0,0,5,2.3,1.33333333333333,3,2.66666666666667,1,51,2.75,2.125,1.66666666666667,2.25,1,2.66666666666667,2.66666666666667,2.66666666666667,3.5,3.5,3,1.5,3,0,0,0,0,3,1.85714285714286,3.33333333333333,3.33333333333333,1,1,51,1,1,2
2,NA,3,3,2,3,3,3,3,1,1,2,2,1,3,3,4,3,1,1,1,2,1,1,4,2,1,1,2,3,2,1,2,3,3,3,2,3,4,4,2,1,4,2,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2.25,3.25,2.33333333333333,1.75,2,3,3.33333333333333,2.66666666666667,1.33333333333333,1,3,3.25,2.33333333333333,0,0,0,0,2,2.4,2.66666666666667,3,2.66666666666667,2,16,2.625,1.625,2,4,3,1.66666666666667,2.33333333333333,2.66666666666667,3.16666666666667,2.25,2.33333333333333,1.25,2.66666666666667,0,0,0,0,2.11111111111111,2.9,3,3,1.33333333333333,2,16,NA,NA,NA
1,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,1,3,1,2,3,2,1,1,1,2,1,1,2,1,1,2,1,2,1,2,2.125,1.625,1,4.75,1.33333333333333,1,1,1.33333333333333,3,2.75,4,1,2.33333333333333,1,0,0,1,6,2.3,2.33333333333333,3,1.33333333333333,2,NA,3.125,1.5,1,3.75,2.66666666666667,2,1,1.66666666666667,2.66666666666667,3.75,4,1,2,1,1,1,1,2,2.5,4,4,2.33333333333333,2,NA,1,1,1
1,4,4,3,3,3,3,4,3,3,4,1,2,1,1,2,2,3,1,1,1,4,1,1,2,1,1,2,2,2,1,3,3,1,1,2,1,1,1,3,3,1,2,2,2,1,1,2,3,3,3,2,1,1,1,2,4.25,1.375,1,2.25,1.33333333333333,2,3,2.66666666666667,3.33333333333333,3.25,3.66666666666667,1,1.66666666666667,1,1,1,1,6,2,3,3,1.66666666666667,1,45,3.5,1.875,1.33333333333333,1.5,1.33333333333333,1.33333333333333,1.33333333333333,2.33333333333333,2.83333333333333,3.25,4,1.75,3.66666666666667,0,0,0,0,2,2,4,4,1,1,45,5,4,5
2,5,3,2,2,4,3,4,2,1,3,3,1,1,2,1,1,3,1,1,1,2,1,1,5,3,2,4,4,3,4,3,4,4,3,3,2,4,4,3,4,5,5,5,5,4,1,4,3,4,2,2,2,4,3,2,3.25,3.5,2,3.75,1.66666666666667,1,1.66666666666667,2.33333333333333,3.33333333333333,3.5,4,1.5,2,1,1,1,1,2,2,3,3.66666666666667,3.33333333333333,1,53,3.875,4.125,1.66666666666667,2.5,2.66666666666667,1,1,2.33333333333333,3.16666666666667,2.75,4,4.75,2,0,1,1,0,5,2.7,3,3,2,1,53,5,5,5
1,NA,2,1,1,2,2,1,1,2,1,1,1,1,3,2,3,2,1,1,2,1,1,1,3,2,2,2,1,3,1,2,3,1,2,3,2,3,3,1,5,2,2,2,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,4,2.125,1.33333333333333,2,2.66666666666667,2,2.33333333333333,1.33333333333333,3,2,4,1.75,3,0,0,0,0,2,2.3,3.66666666666667,3.33333333333333,2,2,34,3.375,2.25,1,3.5,2.66666666666667,1.33333333333333,1.33333333333333,1.66666666666667,3.33333333333333,3.25,3.66666666666667,1.75,2,0,0,0,0,0,2.3,3,3,2.33333333333333,2,34,NA,NA,NA
1,NA,1,2,NA,3,3,2,1,2,2,1,2,1,3,2,2,2,1,1,2,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,2,3,1,4,4,4,2,2,3,4,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,3.25,3.125,2,2,2.66666666666667,1,1.66666666666667,1.33333333333333,1.5,2.5,3.66666666666667,1.66666666666667,1.66666666666667,1,1,1,1,4,2.8,2.66666666666667,3,1.66666666666667,1,23,2.125,2.625,1.33333333333333,2.5,1.66666666666667,2.33333333333333,2,3.33333333333333,2,3,4,1,2,0,0,0,0,5,2.4,3.33333333333333,3.66666666666667,1.33333333333333,1,23,NA,NA,NA
2,5,2,2,2,5,5,4,5,5,5,4,4,3,2,4,4,5,1,3,1,4,2,1,2,4,4,4,4,2,5,2,5,3,4,4,2,4,5,4,2,4,1,3,3,5,2,4,1,2,3,3,1,2,2,3,3.25,3.625,1.66666666666667,3.5,1.66666666666667,1,1.33333333333333,2,1.16666666666667,2.25,3,3.25,2.33333333333333,1,0,1,1,3,2.1,3,3,2,2,46,2.25,2.625,3.15545453146828,3.5,2.33333333333333,3.66666666666667,3.33333333333333,2.33333333333333,1.33333333333333,2.5,3.33333333333333,3,2.66666666666667,1,1,1,1,16.7647058823529,2.9,2.66666666666667,3,1.66666666666667,2,46,5,5,2
2,NA,5,2,3,2,1,3,4,2,2,1,1,1,3,2,4,2,1,1,1,1,1,1,1,3,2,1,1,2,2,3,1,2,1,1,1,2,2,5,1,2,1,1,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,3.875,1.875,1.33333333333333,2.75,1.66666666666667,1.66666666666667,1.66666666666667,1.33333333333333,4,3.75,4,1,2.66666666666667,1,0,0,0,2,2.6,3,4,2,2,43,5,1.75,1.33333333333333,2.5,1.33333333333333,1,1.33333333333333,2,4,4,4,1.5,4,0,0,0,0,1,1.5,3.66666666666667,3,2.33333333333333,2,43,NA,NA,NA
2,3,3,2,1,2,1,2,2,2,3,1,1,1,3,2,3,2,1,1,1,2,1,1,3,2,1,1,3,4,2,4,3,1,1,1,1,1,1,1,3,2,2,2,2,1,1,2,2,2,2,1,2,1,2,1,4.375,1.5,1.33333333333333,2.25,2.66666666666667,4.33333333333333,1.33333333333333,1.33333333333333,1.83333333333333,2.75,4,1.5,3.66666666666667,0,0,0,0,2,3.6,3,2.66666666666667,1.66666666666667,2,34,4.125,2.25,1.66666666666667,2.25,1.66666666666667,1.33333333333333,1,1.33333333333333,3,3.5,4,2.25,2.66666666666667,0,0,0,0,3,2.4,2.33333333333333,2.66666666666667,1.33333333333333,2,34,3,3,4
