key,en,ga
Analysis,Analysis,Anailís
T and Cs,Terms and Conditions,Terma
About,About,Eolas
Dark Mode,Dark Mode,Modh dorcha
Language,Change language,Teanga
Language warning,Language change may require analysis rerun!,
GH feedback,Share feedback on Github,Aiseolas ar Github
GET STARTED,GET STARTED,Tosaigh
DATA UPLOAD,DATA UPLOAD,Uaslódáil
APPROACH,APPROACH,Bealach
BALANCING,BALANCING,Cothromaíocht
OUTCOME,OUTCOME,Toradh
SENSITIVITY ANALYSIS,SENSITIVITY ANALYSIS,
Home How to use,How to use this tool,An uirlis seo a úsáid
Home Data Upload,1. Data Upload,1. Uaslódáil Sonraí
Home Data Upload description,Upload your own data or use our sample data. More infromation on data requirements and validation will be available on the data upload page.,Uaslódáil do shonraí féin nó úsáid ár sonraí samplacha. Beidh tuilleadh faisnéise ar riachtanais sonraí agus bailíochtú ar fáil ar an leathanach uaslódála sonraí.
Home Counterfactual Approach,2. Counterfactual Approach,2. Bealach Frithfhíorasach
Home Counterfactual Approach description,"Select which counterfactual approach, method of dealing with missing data and balancing model you would like to use based on you data and research question.","Roghnaigh an cur chuige frithfhíorasach, an modh chun déileáil le sonraí atá in easnamh agus an tsamhail chothromaithe ar mhaith leat a úsáid bunaithe ar do cheist sonraí agus taighde."
Home Balancing,3. Balancing,3. Cothromaíocht
Home Balancing description,Use propensity scores to balance your sample across treatment groups.,Úsáid scóir claonadh chun do shampla a chothromú trasna grúpaí cóireála.
Home Outcome Model,4. Outcome Model,4. Toradh
Home Outcome Model description,Run your outcome model to estimate the effect of the treatment on the outcome.,Rith do shamhail toraidh chun éifeacht na cóireála ar an toradh a mheas.
Home Counterfactual Analysis,Counterfactual Analysis,Anailís Frithfhíorasach
